ID_Cliente,Motivo,Education,Cidade,Renda_anual,Aulas,NPS,Num_Aulas,Ano_de_nascimento,Banheiros_na_casa,Quartos_na_casa,motivo_na,renda_na,Quartos_Banheiros,faixa_idade
0,Viagem,Graduação,São Paulo,58138,Ingles,4,19,1983,3,4,False,False,4Q_3B,1980s
1,Trabalho,Graduação,Taubaté,46344,Espanhol,4,10,1980,4,3,False,False,3Q_4B,1980s
3,Viagem,Graduação,São Paulo,0,Espanhol,4,22,2010,1,1,False,True,1Q_1B,2010s
4,Trabalho,Doutorado,São Paulo,58293,Ingles,3,8,2007,3,4,False,False,4Q_3B,2000s
5,Trabalho,Mestrado,São Paulo,0,Espanhol,3,9,1993,4,4,False,True,4Q_4B,1990s
6,Viagem,Graduação,São Paulo,55635,Espanhol,4,12,1997,2,4,False,False,4Q_2B,1990s
9,Trabalho,Doutorado,São Bernardo,5648,Ingles,5,12,1976,1,1,False,False,1Q_1B,<1980
10,Estudos,Graduação,São Paulo,52247,Ingles,4,29,2009,3,1,False,False,1Q_3B,2000s
11,Viagem,Ensino Fundamental,Taubaté,7500,Espanhol,4,10,2002,2,1,False,False,1Q_2B,2000s
13,Trabalho,Mestrado,São Paulo,59354,Espanhol,1,4,1978,4,4,False,False,4Q_4B,<1980
14,Estudos,Graduação,São Paulo,17323,Espanhol,4,16,2013,1,1,False,False,1Q_1B,2010s
15,Viagem,Doutorado,São Paulo,82800,Ingles,3,14,1972,5,6,False,False,6Q_5B,<1980
16,Estudos,Graduação,São Paulo,41850,Espanhol,2,14,2006,2,3,False,False,3Q_2B,2000s
17,Viagem,Graduação,São Paulo,37760,Espanhol,4,14,1972,2,2,False,False,2Q_2B,<1980
18,Trabalho,Mestrado,São Paulo,76995,Ingles,4,17,1975,5,6,False,False,6Q_5B,<1980
19,Estudos,Ensino Médio,São Paulo,33812,Espanhol,4,5,2011,2,2,True,False,2Q_2B,2010s
20,Estudos,Graduação,São Paulo,37040,Espanhol,2,17,2008,2,2,False,False,2Q_2B,2000s
21,Estudos,Graduação,São Paulo,2447,Espanhol,1,3,2005,1,1,False,False,1Q_1B,2000s
22,Trabalho,Doutorado,São Paulo,58607,Ingles,2,11,1975,4,4,False,False,4Q_4B,<1980
24,Viagem,Graduação,São Paulo,40689,Espanhol,1,13,1977,2,3,False,False,3Q_2B,<1980
25,Trabalho,Graduação,São Bernardo,18589,Espanhol,2,21,1995,1,1,False,False,1Q_1B,1990s
26,Viagem,Graduação,São Paulo,53359,Ingles,2,5,2002,3,4,False,False,4Q_3B,2000s
27,Estudos,Graduação,São Paulo,52247,Ingles,3,10,2012,3,1,False,False,1Q_3B,2010s
28,Estudos,Graduação,São Paulo,38360,Espanhol,4,5,2015,2,2,False,False,2Q_2B,2010s
30,Viagem,Mestrado,São Paulo,10979,Espanhol,4,7,2015,1,1,False,False,1Q_1B,2010s
31,Trabalho,Mestrado,São Paulo,38620,Espanhol e Ingles,2,36,1989,2,2,False,False,2Q_2B,1980s
32,Estudos,Graduação,São Paulo,40548,Espanhol,1,10,1996,1,3,False,False,3Q_1B,1990s
33,Estudos,Doutorado,Campinas,46610,Ingles,2,2,1978,4,3,False,False,3Q_4B,<1980
34,Trabalho,Mestrado,Taubaté,68657,Espanhol,2,7,1972,5,5,False,False,5Q_5B,<1980
36,Trabalho,Doutorado,São Paulo,67353,Ingles,2,21,1996,4,5,False,False,5Q_4B,1990s
37,Estudos,Ensino Médio,São Paulo,23718,Ingles,1,8,2002,1,1,False,False,1Q_1B,2000s
38,Estudos,Graduação,São Paulo,42429,Espanhol,2,2,1999,2,3,False,False,3Q_2B,1990s
40,Estudos,Graduação,São Paulo,80011,Espanhol,1,10,2006,5,6,False,False,6Q_5B,2000s
41,Trabalho,Mestrado,São Paulo,20559,Espanhol,1,5,2011,1,1,False,False,1Q_1B,2010s
42,Trabalho,Graduação,São Paulo,21994,Espanhol,2,12,1983,1,1,False,False,1Q_1B,1980s
43,Trabalho,Doutorado,Campinas,0,Ingles,1,24,1985,3,1,False,True,1Q_3B,1980s
44,Viagem,Mestrado,São Paulo,0,Espanhol,4,5,2001,1,1,False,True,1Q_1B,2000s
45,Trabalho,Graduação,São Paulo,79941,Ingles,5,1,2002,5,6,False,False,6Q_5B,2000s
46,Estudos,Ensino Médio,São Paulo,7500,Espanhol,2,18,2022,1,1,False,False,1Q_1B,2010s
47,Viagem,Graduação,São Paulo,41728,Espanhol,2,6,1994,2,3,False,False,3Q_2B,1990s
48,Trabalho,Graduação,São Paulo,52247,Espanhol e Ingles,3,12,1977,3,1,False,False,1Q_3B,<1980
49,Viagem,Doutorado,São Paulo,72550,Ingles,3,25,1980,5,5,False,False,5Q_5B,1980s
50,Estudos,Graduação,Taubaté,65486,Ingles,4,33,1983,5,5,False,False,5Q_5B,1980s
51,Trabalho,Mestrado,São Bernardo,79143,Espanhol,3,8,1990,5,6,False,False,6Q_5B,1990s
52,Trabalho,Graduação,Campinas,35790,Espanhol,2,14,2003,3,2,False,False,2Q_3B,2000s
53,Estudos,Graduação,Campinas,82582,Espanhol,5,4,2003,5,6,False,False,6Q_5B,2000s
54,Estudos,Graduação,São Paulo,66373,Ingles,2,1,2004,4,5,False,False,5Q_4B,2000s
55,Trabalho,Mestrado,Campinas,0,Ingles,5,26,1981,5,6,False,True,6Q_5B,1980s
56,Viagem,Graduação,São Paulo,70287,Ingles,4,38,1992,3,5,False,False,5Q_3B,1990s
57,Trabalho,Graduação,São Paulo,27938,Espanhol,5,11,2014,1,1,False,False,1Q_1B,2010s
58,Estudos,Graduação,São Paulo,52247,Ingles,1,2,2008,3,1,False,False,1Q_3B,2000s
60,Viagem,Mestrado,São Paulo,75777,Espanhol e Ingles,4,40,2008,5,6,False,False,6Q_5B,2000s
61,Viagem,Graduação,São Paulo,66653,Espanhol,2,17,2001,4,5,False,False,5Q_4B,2000s
62,Trabalho,Graduação,São Bernardo,61823,Ingles,5,26,1978,4,4,False,False,4Q_4B,<1980
63,Viagem,Doutorado,São Paulo,67680,Ingles,3,9,1977,4,5,False,False,5Q_4B,<1980
64,Estudos,Graduação,São Paulo,70666,Ingles,3,19,1974,4,5,False,False,5Q_4B,<1980
65,Trabalho,Graduação,São Paulo,25721,Espanhol,2,2,1997,1,1,False,False,1Q_1B,1990s
66,Trabalho,Graduação,São Paulo,32474,Ingles,2,28,1993,2,2,False,False,2Q_2B,1990s
67,Viagem,Ensino Médio,São Bernardo,88194,Ingles,5,21,2005,5,6,False,False,6Q_5B,2000s
68,Estudos,Graduação,São Paulo,69096,Espanhol,2,11,1984,3,5,False,False,5Q_3B,1980s
69,Estudos,Graduação,Rio Branco,74854,Ingles,1,28,1996,5,6,False,False,6Q_5B,1990s
71,Estudos,Ensino Médio,São Paulo,52247,Ingles,2,6,1999,3,1,False,False,1Q_3B,1990s
72,Viagem,Graduação,São Paulo,65031,Ingles,5,23,1985,3,5,False,False,5Q_3B,1980s
73,Trabalho,Doutorado,São Bernardo,60631,Ingles,3,1,2001,4,4,False,False,4Q_4B,2000s
74,Estudos,Graduação,São Bernardo,28332,Espanhol e Ingles,3,23,1978,1,1,False,False,1Q_1B,<1980
75,Estudos,Graduação,São Bernardo,40246,Espanhol,2,11,2003,2,2,False,False,2Q_2B,2000s
76,Trabalho,Mestrado,São Bernardo,75251,Espanhol,1,14,1998,5,6,False,False,6Q_5B,1990s
77,Estudos,Graduação,São Paulo,75825,Ingles,3,18,2002,4,6,False,False,6Q_4B,2000s
78,Viagem,Ensino Médio,São Paulo,26326,Ingles,2,6,2002,1,1,False,False,1Q_1B,2000s
79,Trabalho,Graduação,São Paulo,56046,Espanhol,3,4,1991,3,4,False,False,4Q_3B,1990s
80,Viagem,Graduação,Campinas,29760,Espanhol,2,3,2011,1,1,False,False,1Q_1B,2010s
81,Estudos,Graduação,São Paulo,26304,Espanhol,1,13,1995,1,1,False,False,1Q_1B,1990s
82,Viagem,Ensino Médio,São Paulo,23559,Espanhol,2,11,1999,1,1,False,False,1Q_1B,1990s
83,Trabalho,Mestrado,São Paulo,38620,Espanhol,4,11,1989,1,2,False,False,2Q_1B,1980s
84,Trabalho,Graduação,São Paulo,81361,Ingles,2,9,2013,5,6,False,False,6Q_5B,2010s
85,Estudos,Graduação,São Paulo,29440,Espanhol,1,12,1986,1,1,False,False,1Q_1B,1980s
86,Estudos,Mestrado,São Bernardo,36138,Espanhol,1,7,1996,2,2,True,False,2Q_2B,1990s
87,Trabalho,Graduação,São Paulo,50388,Espanhol,2,11,1983,3,3,False,False,3Q_3B,1980s
88,Estudos,Graduação,Campinas,79593,Espanhol,5,11,1999,5,6,True,False,6Q_5B,1990s
89,Trabalho,Graduação,São Paulo,54178,Ingles,2,39,1993,3,4,False,False,4Q_3B,1990s
91,Estudos,Graduação,São Bernardo,52247,Ingles,2,36,1983,3,1,False,False,1Q_3B,1980s
92,Trabalho,Mestrado,São Bernardo,0,Ingles,4,29,1999,3,1,False,True,1Q_3B,1990s
93,Trabalho,Mestrado,São Paulo,42394,Espanhol,1,6,1998,2,3,False,False,3Q_2B,1990s
94,Trabalho,Doutorado,São Bernardo,23626,Ingles,3,4,1996,1,1,False,False,1Q_1B,1990s
95,Viagem,Graduação,São Paulo,0,Espanhol,3,19,2009,1,2,False,True,2Q_1B,2000s
96,Viagem,Graduação,São Paulo,47916,Espanhol,3,12,1986,3,3,False,False,3Q_3B,1980s
97,Viagem,Graduação,São Paulo,51813,Ingles,1,15,1998,3,4,False,False,4Q_3B,1990s
98,Estudos,Ensino Médio,São Paulo,78497,Espanhol,1,4,1977,4,6,False,False,6Q_4B,<1980
99,Trabalho,Doutorado,São Paulo,50150,Ingles,5,38,2009,3,3,False,False,3Q_3B,2000s
100,Estudos,Ensino Médio,São Paulo,47823,Espanhol,3,13,1986,2,3,False,False,3Q_2B,1980s
